date,branch_id,branch_name,sku_id,product_name,category,units_sold,selling_price,promotion,festival,festival_flag,weekend_flag,month,day_of_week,opening_stock,closing_stock,warehouse_stock
2025-02-27,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,0,2,3,100,63,3198
2025-02-28,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,0,2,4,63,27,4089
2025-03-01,B01,Singanallur,SKU001,Rice 5kg,Grocery,55,340.0,0,,0,1,3,5,27,138,4259
2025-03-02,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,1,3,6,138,99,3653
2025-03-03,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,3,0,99,61,3576
2025-03-04,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,0,3,1,61,21,3939
2025-03-05,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,3,2,21,130,2702
2025-03-06,B01,Singanallur,SKU001,Rice 5kg,Grocery,30,340.0,0,,0,0,3,3,130,100,2793
2025-03-07,B01,Singanallur,SKU001,Rice 5kg,Grocery,32,340.0,0,,0,0,3,4,100,68,4827
2025-03-08,B01,Singanallur,SKU001,Rice 5kg,Grocery,42,340.0,0,,0,1,3,5,68,26,4430
2025-03-09,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,1,3,6,26,81,3108
2025-03-10,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,0,3,0,81,44,4294
2025-03-11,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,0,3,1,44,112,4455
2025-03-12,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,0,3,2,112,73,2646
2025-03-13,B01,Singanallur,SKU001,Rice 5kg,Grocery,49,292.27,1,,0,0,3,3,73,24,2988
2025-03-14,B01,Singanallur,SKU001,Rice 5kg,Grocery,59,293.68,1,,0,0,3,4,24,136,4469
2025-03-15,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,1,3,5,136,97,4698
2025-03-16,B01,Singanallur,SKU001,Rice 5kg,Grocery,52,340.0,0,,0,1,3,6,97,45,2762
2025-03-17,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,0,3,0,45,101,4893
2025-03-18,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,3,1,101,63,3380
2025-03-19,B01,Singanallur,SKU001,Rice 5kg,Grocery,41,340.0,0,,0,0,3,2,63,22,4549
2025-03-20,B01,Singanallur,SKU001,Rice 5kg,Grocery,43,340.0,0,,0,0,3,3,22,67,4182
2025-03-21,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,0,3,4,67,30,4755
2025-03-22,B01,Singanallur,SKU001,Rice 5kg,Grocery,44,340.0,0,,0,1,3,5,30,140,4148
2025-03-23,B01,Singanallur,SKU001,Rice 5kg,Grocery,48,340.0,0,,0,1,3,6,140,92,3943
2025-03-24,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,3,0,92,54,3996
2025-03-25,B01,Singanallur,SKU001,Rice 5kg,Grocery,43,340.0,0,,0,0,3,1,54,189,4700
2025-03-26,B01,Singanallur,SKU001,Rice 5kg,Grocery,49,340.0,0,,0,0,3,2,189,140,3456
2025-03-27,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,0,3,3,140,100,4204
2025-03-28,B01,Singanallur,SKU001,Rice 5kg,Grocery,29,340.0,0,,0,0,3,4,100,71,4027
2025-03-29,B01,Singanallur,SKU001,Rice 5kg,Grocery,59,317.87,1,,0,1,3,5,71,108,3139
2025-03-30,B01,Singanallur,SKU001,Rice 5kg,Grocery,57,298.02,1,,0,1,3,6,108,51,4193
2025-03-31,B01,Singanallur,SKU001,Rice 5kg,Grocery,33,340.0,0,,0,0,3,0,51,135,4777
2025-04-01,B01,Singanallur,SKU001,Rice 5kg,Grocery,43,340.0,0,,0,0,4,1,135,92,4574
2025-04-02,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,0,4,2,92,55,2725
2025-04-03,B01,Singanallur,SKU001,Rice 5kg,Grocery,44,340.0,0,,0,0,4,3,55,154,4004
2025-04-04,B01,Singanallur,SKU001,Rice 5kg,Grocery,28,340.0,0,,0,0,4,4,154,126,2952
2025-04-05,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,1,4,5,126,86,3046
2025-04-06,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,1,4,6,86,55,3715
2025-04-07,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,0,4,0,55,24,3743
2025-04-08,B01,Singanallur,SKU001,Rice 5kg,Grocery,41,340.0,0,,0,0,4,1,24,92,3569
2025-04-09,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,0,4,2,92,55,4268
2025-04-10,B01,Singanallur,SKU001,Rice 5kg,Grocery,65,300.25,1,,0,0,4,3,55,115,2680
2025-04-11,B01,Singanallur,SKU001,Rice 5kg,Grocery,44,298.13,1,,0,0,4,4,115,71,2627
2025-04-12,B01,Singanallur,SKU001,Rice 5kg,Grocery,50,302.42,1,,0,1,4,5,71,21,3069
2025-04-13,B01,Singanallur,SKU001,Rice 5kg,Grocery,53,297.64,1,,0,1,4,6,21,49,3284
2025-04-14,B01,Singanallur,SKU001,Rice 5kg,Grocery,84,340.0,0,Tamil New Year,1,0,4,0,49,77,2745
2025-04-15,B01,Singanallur,SKU001,Rice 5kg,Grocery,30,340.0,0,,0,0,4,1,77,47,3037
2025-04-16,B01,Singanallur,SKU001,Rice 5kg,Grocery,33,340.0,0,,0,0,4,2,47,192,4341
2025-04-17,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,0,4,3,192,152,3184
2025-04-18,B01,Singanallur,SKU001,Rice 5kg,Grocery,56,340.0,0,,0,0,4,4,152,96,2519
2025-04-19,B01,Singanallur,SKU001,Rice 5kg,Grocery,48,340.0,0,,0,1,4,5,96,48,2899
2025-04-20,B01,Singanallur,SKU001,Rice 5kg,Grocery,46,340.0,0,,0,1,4,6,48,95,3471
2025-04-21,B01,Singanallur,SKU001,Rice 5kg,Grocery,28,340.0,0,,0,0,4,0,95,67,4482
2025-04-22,B01,Singanallur,SKU001,Rice 5kg,Grocery,49,340.0,0,,0,0,4,1,67,183,2550
2025-04-23,B01,Singanallur,SKU001,Rice 5kg,Grocery,52,340.0,0,,0,0,4,2,183,131,3648
2025-04-24,B01,Singanallur,SKU001,Rice 5kg,Grocery,27,340.0,0,,0,0,4,3,131,104,4697
2025-04-25,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,4,4,104,70,4215
2025-04-26,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,1,4,5,70,30,3181
2025-04-27,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,1,4,6,30,131,4811
2025-04-28,B01,Singanallur,SKU001,Rice 5kg,Grocery,43,340.0,0,,0,0,4,0,131,88,4095
2025-04-29,B01,Singanallur,SKU001,Rice 5kg,Grocery,41,340.0,0,,0,0,4,1,88,47,3719
2025-04-30,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,0,4,2,47,101,3376
2025-05-01,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,5,3,101,67,2768
2025-05-02,B01,Singanallur,SKU001,Rice 5kg,Grocery,45,313.3,1,,0,0,5,4,67,22,4182
2025-05-03,B01,Singanallur,SKU001,Rice 5kg,Grocery,56,291.67,1,,0,1,5,5,22,135,2616
2025-05-04,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,303.56,1,,0,1,5,6,135,97,4431
2025-05-05,B01,Singanallur,SKU001,Rice 5kg,Grocery,47,297.51,1,,0,0,5,0,97,50,3641
2025-05-06,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,0,5,1,50,142,2987
2025-05-07,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,5,2,142,104,3712
2025-05-08,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,0,5,3,104,64,3203
2025-05-09,B01,Singanallur,SKU001,Rice 5kg,Grocery,46,340.0,0,,0,0,5,4,64,164,2653
2025-05-10,B01,Singanallur,SKU001,Rice 5kg,Grocery,45,340.0,0,,0,1,5,5,164,119,4179
2025-05-11,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,1,5,6,119,84,3508
2025-05-12,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,5,0,84,50,4641
2025-05-13,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,0,5,1,50,166,4765
2025-05-14,B01,Singanallur,SKU001,Rice 5kg,Grocery,42,340.0,0,,0,0,5,2,166,124,4979
2025-05-15,B01,Singanallur,SKU001,Rice 5kg,Grocery,33,340.0,0,,0,0,5,3,124,91,4257
2025-05-16,B01,Singanallur,SKU001,Rice 5kg,Grocery,41,340.0,0,,0,0,5,4,91,50,2856
2025-05-17,B01,Singanallur,SKU001,Rice 5kg,Grocery,49,340.0,0,,0,1,5,5,50,149,4989
2025-05-18,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,1,5,6,149,118,4131
2025-05-19,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,5,0,118,80,3015
2025-05-20,B01,Singanallur,SKU001,Rice 5kg,Grocery,42,340.0,0,,0,0,5,1,80,38,2835
2025-05-21,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,0,5,2,38,113,3351
2025-05-22,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,0,5,3,113,76,4187
2025-05-23,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,0,5,4,76,37,4068
2025-05-24,B01,Singanallur,SKU001,Rice 5kg,Grocery,50,340.0,0,,0,1,5,5,37,99,3456
2025-05-25,B01,Singanallur,SKU001,Rice 5kg,Grocery,43,340.0,0,,0,1,5,6,99,56,3940
2025-05-26,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,0,5,0,56,20,3691
2025-05-27,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,5,1,20,73,4125
2025-05-28,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,0,5,2,73,34,2917
2025-05-29,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,0,5,3,34,135,4149
2025-05-30,B01,Singanallur,SKU001,Rice 5kg,Grocery,26,340.0,0,,0,0,5,4,135,109,4016
2025-05-31,B01,Singanallur,SKU001,Rice 5kg,Grocery,42,340.0,0,,0,1,5,5,109,67,3175
2025-06-01,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,1,6,6,67,30,4392
2025-06-02,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,6,0,30,120,3622
2025-06-03,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,0,6,1,120,81,4071
2025-06-04,B01,Singanallur,SKU001,Rice 5kg,Grocery,43,340.0,0,,0,0,6,2,81,38,4187
2025-06-05,B01,Singanallur,SKU001,Rice 5kg,Grocery,32,340.0,0,,0,0,6,3,38,108,2536
2025-06-06,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,0,6,4,108,71,4826
2025-06-07,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,1,6,5,71,40,4764
2025-06-08,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,1,6,6,40,147,3095
2025-06-09,B01,Singanallur,SKU001,Rice 5kg,Grocery,27,340.0,0,,0,0,6,0,147,120,4403
2025-06-10,B01,Singanallur,SKU001,Rice 5kg,Grocery,27,340.0,0,,0,0,6,1,120,93,4724
2025-06-11,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,0,6,2,93,62,4135
2025-06-12,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,6,3,62,28,3217
2025-06-13,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,0,6,4,28,171,3350
2025-06-14,B01,Singanallur,SKU001,Rice 5kg,Grocery,33,340.0,0,,0,1,6,5,171,138,2895
2025-06-15,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,1,6,6,138,100,3992
2025-06-16,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,6,0,100,62,3562
2025-06-17,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,0,6,1,62,23,4656
2025-06-18,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,6,2,23,139,3250
2025-06-19,B01,Singanallur,SKU001,Rice 5kg,Grocery,44,340.0,0,,0,0,6,3,139,95,3453
2025-06-20,B01,Singanallur,SKU001,Rice 5kg,Grocery,30,340.0,0,,0,0,6,4,95,65,4042
2025-06-21,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,1,6,5,65,26,3697
2025-06-22,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,1,6,6,26,119,3717
2025-06-23,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,0,6,0,119,84,4040
2025-06-24,B01,Singanallur,SKU001,Rice 5kg,Grocery,27,340.0,0,,0,0,6,1,84,57,4019
2025-06-25,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,0,6,2,57,20,3888
2025-06-26,B01,Singanallur,SKU001,Rice 5kg,Grocery,41,340.0,0,,0,0,6,3,20,129,2716
2025-06-27,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,0,6,4,129,98,3824
2025-06-28,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,1,6,5,98,64,4310
2025-06-29,B01,Singanallur,SKU001,Rice 5kg,Grocery,46,340.0,0,,0,1,6,6,64,158,3705
2025-06-30,B01,Singanallur,SKU001,Rice 5kg,Grocery,29,340.0,0,,0,0,6,0,158,129,2538
2025-07-01,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,0,7,1,129,90,2672
2025-07-02,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,0,7,2,90,55,3581
2025-07-03,B01,Singanallur,SKU001,Rice 5kg,Grocery,32,340.0,0,,0,0,7,3,55,23,4183
2025-07-04,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,0,7,4,23,140,4895
2025-07-05,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,1,7,5,140,100,2689
2025-07-06,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,1,7,6,100,66,3323
2025-07-07,B01,Singanallur,SKU001,Rice 5kg,Grocery,21,340.0,0,,0,0,7,0,66,45,3428
2025-07-08,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,0,7,1,45,124,3750
2025-07-09,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,0,7,2,124,89,4182
2025-07-10,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,7,3,89,55,3756
2025-07-11,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,0,7,4,55,20,4049
2025-07-12,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,1,7,5,20,155,3535
2025-07-13,B01,Singanallur,SKU001,Rice 5kg,Grocery,45,340.0,0,,0,1,7,6,155,110,3853
2025-07-14,B01,Singanallur,SKU001,Rice 5kg,Grocery,44,340.0,0,,0,0,7,0,110,66,3531
2025-07-15,B01,Singanallur,SKU001,Rice 5kg,Grocery,30,340.0,0,,0,0,7,1,66,36,3645
2025-07-16,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,7,2,36,139,3039
2025-07-17,B01,Singanallur,SKU001,Rice 5kg,Grocery,27,340.0,0,,0,0,7,3,139,112,3368
2025-07-18,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,7,4,112,78,3428
2025-07-19,B01,Singanallur,SKU001,Rice 5kg,Grocery,46,340.0,0,,0,1,7,5,78,32,4536
2025-07-20,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,1,7,6,32,100,4081
2025-07-21,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,7,0,100,62,2889
2025-07-22,B01,Singanallur,SKU001,Rice 5kg,Grocery,28,340.0,0,,0,0,7,1,62,34,3297
2025-07-23,B01,Singanallur,SKU001,Rice 5kg,Grocery,44,340.0,0,,0,0,7,2,34,74,3515
2025-07-24,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,0,7,3,74,34,2723
2025-07-25,B01,Singanallur,SKU001,Rice 5kg,Grocery,30,340.0,0,,0,0,7,4,34,132,4302
2025-07-26,B01,Singanallur,SKU001,Rice 5kg,Grocery,27,340.0,0,,0,1,7,5,132,105,3188
2025-07-27,B01,Singanallur,SKU001,Rice 5kg,Grocery,44,340.0,0,,0,1,7,6,105,61,3984
2025-07-28,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,7,0,61,27,4168
2025-07-29,B01,Singanallur,SKU001,Rice 5kg,Grocery,32,340.0,0,,0,0,7,1,27,77,3960
2025-07-30,B01,Singanallur,SKU001,Rice 5kg,Grocery,43,340.0,0,,0,0,7,2,77,34,3213
2025-07-31,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,0,7,3,34,150,2582
2025-08-01,B01,Singanallur,SKU001,Rice 5kg,Grocery,30,340.0,0,,0,0,8,4,150,120,4401
2025-08-02,B01,Singanallur,SKU001,Rice 5kg,Grocery,27,340.0,0,,0,1,8,5,120,93,4548
2025-08-03,B01,Singanallur,SKU001,Rice 5kg,Grocery,45,311.84,1,,0,1,8,6,93,48,4323
2025-08-04,B01,Singanallur,SKU001,Rice 5kg,Grocery,44,298.13,1,,0,0,8,0,48,122,4701
2025-08-05,B01,Singanallur,SKU001,Rice 5kg,Grocery,57,299.46,1,,0,0,8,1,122,65,4484
2025-08-06,B01,Singanallur,SKU001,Rice 5kg,Grocery,48,308.07,1,,0,0,8,2,65,190,3262
2025-08-07,B01,Singanallur,SKU001,Rice 5kg,Grocery,28,340.0,0,,0,0,8,3,190,162,3752
2025-08-08,B01,Singanallur,SKU001,Rice 5kg,Grocery,30,340.0,0,,0,0,8,4,162,132,3077
2025-08-09,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,1,8,5,132,96,3829
2025-08-10,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,1,8,6,96,60,4645
2025-08-11,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,0,8,0,60,24,4982
2025-08-12,B01,Singanallur,SKU001,Rice 5kg,Grocery,44,340.0,0,,0,0,8,1,24,122,4517
2025-08-13,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,0,8,2,122,87,3858
2025-08-14,B01,Singanallur,SKU001,Rice 5kg,Grocery,22,340.0,0,,0,0,8,3,87,65,3519
2025-08-15,B01,Singanallur,SKU001,Rice 5kg,Grocery,33,340.0,0,Independence Day,1,0,8,4,65,32,4628
2025-08-16,B01,Singanallur,SKU001,Rice 5kg,Grocery,25,340.0,0,,0,1,8,5,32,91,3296
2025-08-17,B01,Singanallur,SKU001,Rice 5kg,Grocery,27,340.0,0,,0,1,8,6,91,64,2568
2025-08-18,B01,Singanallur,SKU001,Rice 5kg,Grocery,32,340.0,0,,0,0,8,0,64,32,4600
2025-08-19,B01,Singanallur,SKU001,Rice 5kg,Grocery,28,340.0,0,,0,0,8,1,32,126,4406
2025-08-20,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,0,8,2,126,95,4658
2025-08-21,B01,Singanallur,SKU001,Rice 5kg,Grocery,28,340.0,0,,0,0,8,3,95,67,4219
2025-08-22,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,8,4,67,33,2780
2025-08-23,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,1,8,5,33,170,3171
2025-08-24,B01,Singanallur,SKU001,Rice 5kg,Grocery,41,340.0,0,,0,1,8,6,170,129,4469
2025-08-25,B01,Singanallur,SKU001,Rice 5kg,Grocery,26,340.0,0,,0,0,8,0,129,103,3528
2025-08-26,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,0,8,1,103,67,3989
