branch_id,branch_name,sku_id,product_name,category,current_stock,safety_stock,reorder_level
B05,Sulur,SKU002,Wheat Flour 5kg,Grocery,90,66,110
B05,Sulur,SKU003,Sugar 1kg,Grocery,42,78,130
B05,Sulur,SKU004,Cooking Oil 1L,Grocery,157,72,120
B05,Sulur,SKU005,Milk 1L,Dairy & Beverages,48,135,225
B05,Sulur,SKU006,Curd 500g,Dairy & Beverages,59,90,150
B05,Sulur,SKU007,Tea 500g,Dairy & Beverages,130,42,70
B05,Sulur,SKU008,Coffee 200g,Dairy & Beverages,23,30,50
B05,Sulur,SKU009,Biscuits,Snacks & Packaged Food,103,120,200
B05,Sulur,SKU010,Potato Chips,Snacks & Packaged Food,134,114,190
B05,Sulur,SKU011,Noodles,Snacks & Packaged Food,101,126,210
B05,Sulur,SKU012,Breakfast Cereal,Snacks & Packaged Food,74,36,60
B05,Sulur,SKU013,Bath Soap,Personal Care,77,60,100
B05,Sulur,SKU014,Shampoo,Personal Care,50,45,75
B05,Sulur,SKU015,Toothpaste,Personal Care,52,54,90
B05,Sulur,SKU016,Hand Wash,Personal Care,146,39,65
B05,Sulur,SKU017,Detergent Powder,Household,114,48,80
B05,Sulur,SKU018,Dishwash Liquid,Household,34,51,85
B05,Sulur,SKU019,Floor Cleaner,Household,92,33,55
B05,Sulur,SKU020,Toilet Cleaner,Household,120,30,50
